operator_id,station_id,total_s,downtime_s,uptime_ratio
Esarj,TR-IZM-0017,184496,9037,0.951
ChargeSquare,TR-IZM-0003,184496,6932,0.9624
VoltRun,TR-IST-0033,138372,6752,0.9512
VoltRun,TR-ADA-0004,184496,6091,0.967
VoltRun,TR-IST-0074,138372,5845,0.9578
ZES,TR-IZM-0030,138372,5463,0.9605
ZES,TR-ANT-0015,184496,5170,0.972
VoltRun,TR-IZM-0027,184496,5022,0.9728
Trugo,TR-IST-0035,184496,4686,0.9746
ChargeSquare,TR-ANK-0005,184496,4647,0.9748
VoltRun,TR-IZM-0001,138372,4514,0.9674
VoltRun,TR-IST-0072,184496,4472,0.9758
ChargeSquare,TR-IST-0040,184496,4315,0.9766
ChargeSquare,TR-ADA-0007,184496,4259,0.9769
ZES,TR-BUR-0004,184496,3871,0.979
VoltRun,TR-IZM-0031,138372,3846,0.9722
ChargeSquare,TR-IZM-0021,92248,3818,0.9586
ZES,TR-IST-0023,184496,3790,0.9795
ZES,TR-IZM-0011,138372,3735,0.973
Esarj,TR-ADA-0002,184496,3621,0.9804
