operator_id,city,tariff_id,revenue_eur,peak_revenue_eur,peak_pct,sessions
VoltRun,Istanbul,standard-v1,35094.76,10334.71,29.4,2713
ChargeSquare,Istanbul,standard-v1,33454.43,9992.71,29.9,2591
Esarj,Istanbul,standard-v1,32748.42,9756.73,29.8,2562
Trugo,Istanbul,standard-v1,32264.28,9360.85,29.0,2576
ZES,Istanbul,standard-v1,30927.99,9388.23,30.4,2473
VoltRun,Istanbul,peak-rate-v2,27087.4,27087.4,100.0,1183
Esarj,Istanbul,peak-rate-v2,25081.24,25081.24,100.0,1152
Trugo,Istanbul,peak-rate-v2,24551.02,24551.02,100.0,1105
ChargeSquare,Istanbul,peak-rate-v2,24183.21,24183.21,100.0,1086
ZES,Istanbul,peak-rate-v2,23263.92,23263.92,100.0,1047
ZES,Ankara,standard-v1,15633.9,4265.31,27.3,1224
Trugo,Ankara,standard-v1,14973.02,4243.22,28.3,1234
Esarj,Ankara,standard-v1,14650.81,4098.19,28.0,1069
ChargeSquare,Istanbul,fleet-v1,14562.56,4671.75,32.1,1293
ZES,Istanbul,fleet-v1,14494.04,4440.25,30.6,1327
VoltRun,Istanbul,fleet-v1,14311.53,4242.01,29.6,1283
Trugo,Istanbul,fleet-v1,13934.46,4078.33,29.3,1226
VoltRun,Izmir,standard-v1,13781.27,4242.42,30.8,1045
Esarj,Istanbul,fleet-v1,13780.09,4177.26,30.3,1240
ChargeSquare,Ankara,standard-v1,13152.44,4168.91,31.7,1041
VoltRun,Ankara,standard-v1,12392.92,3648.1,29.4,1012
ZES,Izmir,standard-v1,11979.09,3618.95,30.2,926
VoltRun,Istanbul,off-peak-v1,11963.36,2902.9,24.3,1313
ChargeSquare,Izmir,standard-v1,11794.02,3889.4,33.0,939
ZES,Ankara,peak-rate-v2,11710.36,11710.36,100.0,543
ChargeSquare,Istanbul,off-peak-v1,11630.75,2997.39,25.8,1284
Esarj,Ankara,peak-rate-v2,11394.62,11394.62,100.0,495
Esarj,Istanbul,off-peak-v1,11353.79,2782.97,24.5,1267
Esarj,Izmir,standard-v1,11123.34,3361.13,30.2,871
Trugo,Istanbul,off-peak-v1,11106.65,2565.34,23.1,1243
Trugo,Ankara,peak-rate-v2,11034.45,11034.45,100.0,523
ZES,Istanbul,off-peak-v1,10826.76,3004.72,27.8,1246
VoltRun,Izmir,peak-rate-v2,10778.01,10778.01,100.0,452
Trugo,Izmir,standard-v1,10382.75,2906.7,28.0,844
ChargeSquare,Ankara,peak-rate-v2,9379.31,9379.31,100.0,436
Trugo,Bursa,standard-v1,8948.91,2869.88,32.1,681
VoltRun,Ankara,peak-rate-v2,8827.05,8827.05,100.0,424
ZES,Izmir,peak-rate-v2,8803.16,8803.16,100.0,389
ChargeSquare,Izmir,peak-rate-v2,8494.97,8494.97,100.0,408
Esarj,Izmir,peak-rate-v2,8407.31,8407.31,100.0,378
VoltRun,Bursa,standard-v1,8369.58,2679.5,32.0,664
Trugo,Izmir,peak-rate-v2,7835.52,7835.52,100.0,363
ZES,Bursa,standard-v1,7371.58,2223.7,30.2,555
ZES,Ankara,fleet-v1,7220.04,2318.44,32.1,656
Trugo,Antalya,standard-v1,6766.21,2037.83,30.1,550
Esarj,Ankara,fleet-v1,6695.54,1904.68,28.4,564
ZES,Antalya,standard-v1,6649.68,2014.98,30.3,513
VoltRun,Izmir,fleet-v1,6591.15,2136.81,32.4,570
ChargeSquare,Antalya,standard-v1,6421.07,1981.86,30.9,489
Esarj,Bursa,standard-v1,6321.69,2217.3,35.1,476
ChargeSquare,Ankara,fleet-v1,6308.59,1783.46,28.3,554
Trugo,Bursa,peak-rate-v2,6000.05,6000.05,100.0,277
Trugo,Ankara,fleet-v1,5913.64,1865.47,31.5,566
ChargeSquare,Bursa,standard-v1,5742.35,1722.12,30.0,471
VoltRun,Antalya,standard-v1,5737.23,1727.97,30.1,447
Esarj,Antalya,standard-v1,5679.13,1626.87,28.6,462
VoltRun,Ankara,fleet-v1,5585.8,1723.61,30.9,502
VoltRun,Bursa,peak-rate-v2,5498.0,5498.0,100.0,249
Esarj,Ankara,off-peak-v1,5431.35,1341.71,24.7,570
ChargeSquare,Izmir,fleet-v1,5406.82,1710.2,31.6,490
ZES,Izmir,fleet-v1,5245.76,1689.84,32.2,463
ChargeSquare,Adana,standard-v1,5197.19,1514.71,29.1,402
ZES,Ankara,off-peak-v1,5110.52,1171.39,22.9,594
Esarj,Izmir,fleet-v1,5079.04,1539.15,30.3,446
VoltRun,Izmir,off-peak-v1,5010.93,1131.77,22.6,531
Trugo,Ankara,off-peak-v1,4964.13,1309.35,26.4,590
Trugo,Antalya,peak-rate-v2,4872.46,4872.46,100.0,220
Esarj,Bursa,peak-rate-v2,4799.12,4799.12,100.0,207
Trugo,Izmir,fleet-v1,4764.27,1266.37,26.6,424
ZES,Bursa,peak-rate-v2,4709.18,4709.18,100.0,217
ChargeSquare,Ankara,off-peak-v1,4612.33,1185.29,25.7,518
Trugo,Adana,standard-v1,4598.61,1290.55,28.1,376
VoltRun,Adana,standard-v1,4563.54,1319.85,28.9,365
Esarj,Konya,standard-v1,4406.34,1212.92,27.5,312
ChargeSquare,Adana,peak-rate-v2,4236.84,4236.84,100.0,194
ZES,Antalya,peak-rate-v2,4230.06,4230.06,100.0,192
Esarj,Adana,standard-v1,4225.55,1148.3,27.2,339
VoltRun,Antalya,peak-rate-v2,4214.79,4214.79,100.0,201
Esarj,Izmir,off-peak-v1,4183.86,1010.49,24.2,484
Esarj,Antalya,peak-rate-v2,4148.03,4148.03,100.0,184
ZES,Adana,standard-v1,4075.64,1301.69,31.9,304
ChargeSquare,Antalya,peak-rate-v2,4054.63,4054.63,100.0,198
ChargeSquare,Bursa,peak-rate-v2,4050.05,4050.05,100.0,191
ZES,Izmir,off-peak-v1,3982.79,984.91,24.7,426
ChargeSquare,Izmir,off-peak-v1,3966.62,1060.48,26.7,454
VoltRun,Ankara,off-peak-v1,3901.14,781.1,20.0,457
Trugo,Bursa,fleet-v1,3684.84,1181.19,32.1,329
Trugo,Izmir,off-peak-v1,3633.45,887.34,24.4,415
VoltRun,Bursa,fleet-v1,3463.13,1121.49,32.4,317
ZES,Adana,peak-rate-v2,3347.08,3347.08,100.0,142
