session_id,station_id,brand,avg_power_kw,z_score
sess-d43ea836-3124-48cb,TR-IZM-0434,Tesla,250.0,4.75
sess-64d7c4b7-f07b-4b2c,TR-BUR-0292,Tesla,250.0,4.75
sess-1d364548-a086-48f4,TR-IZM-0215,Tesla,250.0,4.75
sess-0a4f065f-c5b2-4e03,TR-IST-1651,Tesla,250.0,4.75
sess-7a272bfb-9135-4796,TR-ANK-0619,Tesla,250.0,4.75
sess-36dda610-ee1c-41a3,TR-IZM-0397,Tesla,250.0,4.75
sess-13d88347-f552-4b0a,TR-IST-6502,Tesla,250.0,4.75
sess-3f1a0468-14b4-4b74,TR-IST-1971,Tesla,250.0,4.75
sess-17b9b48f-e356-4dec,TR-IST-0206,Tesla,250.0,4.75
sess-5f3e922b-0b94-4c7a,TR-ANK-0144,Tesla,250.0,4.75
sess-4789fa39-9e89-4ffb,TR-IST-0240,Tesla,250.0,4.75
sess-aa90fe67-bca5-4dd7,TR-ANK-0126,Tesla,250.0,4.75
sess-cd762f3c-f2b2-496f,TR-ANK-0323,Tesla,250.0,4.75
sess-48d0d2c6-a9d0-4a58,TR-IZM-0646,Tesla,250.0,4.75
sess-8abe7de6-5618-4444,TR-IST-1989,Tesla,250.0,4.75
sess-394c4669-7375-4740,TR-ADA-0100,Tesla,250.0,4.75
sess-46337c93-51ec-4934,TR-IST-0708,Tesla,250.0,4.75
sess-efe8d244-c05d-456e,TR-BUR-0349,Tesla,250.0,4.75
sess-cf431e96-e53c-40c2,TR-IST-8488,Tesla,250.0,4.75
sess-18167aad-6d7a-4cb1,TR-ADA-0125,Tesla,250.0,4.75
sess-c349ef5c-70bf-46e0,TR-IST-0528,Tesla,250.0,4.75
sess-009af122-0ec5-4a04,TR-IST-1839,Tesla,250.0,4.75
sess-1f17d110-88a3-4789,TR-IST-1861,Tesla,250.0,4.75
sess-e5fe8e42-917d-41eb,TR-IST-1153,Tesla,250.0,4.75
sess-cef47a97-f18d-4f94,TR-ANK-0242,Tesla,250.0,4.75
sess-d078b081-f07e-4802,TR-ANT-0277,Tesla,250.0,4.75
sess-de3af00c-3724-4f84,TR-IST-1615,Tesla,250.0,4.75
sess-6d8f4a18-eaf3-4e3b,TR-IST-0985,Tesla,250.0,4.75
sess-377674c1-367c-414e,TR-ANT-0121,Tesla,249.9,4.75
sess-18d1d63b-9ce1-485b,TR-IST-0907,Tesla,250.0,4.75
sess-19e04f64-d219-466b,TR-ADA-0180,Tesla,250.0,4.75
sess-fd272d6e-9d64-4251,TR-IZM-0142,Tesla,250.0,4.75
sess-afff96d3-4b9b-4098,TR-IZM-0364,Tesla,250.0,4.75
sess-563e53f0-385a-4e96,TR-ANT-0012,Tesla,250.0,4.75
sess-2fac8e12-7cba-4665,TR-IST-0492,Tesla,250.0,4.75
